Date,Assigned to,Newspaper,Link,Section,Key words,Opinion adm,Opinion CDC,Briefly observation,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/pence-says-theres-no-question-us-will-have-more-cases-of-coronavirus/,News,"Vice president, restrictions, cases",0,Nada,"Vice President Pence, who’s running point on the Trump administration’s response to the coronavirus, said Sunday “it is possible” that more people in the US could die from the global epidemic.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/coughing-pope-francis-cancels-participation-in-week-long-spiritual-retreat/,News,"Pope, Rome, Vatican",Nada,Nada,A coughing Pope Francis said Sunday that “unfortunately a cold” will prevent him from participating in a week-long spiritual retreat.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/rhode-island-patient-tests-positive-for-the-coronavirus-after-traveling-to-italy/,News,"Rhode Island, confirmed cases",Nada,0,"Rhode Island announced Sunday that a patient has tested positive for the coronavirus, marking the first possible case in the state.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/us-coronavirus-cases-jumps-to-71-west-coast-is-hardest-hit/,News,"California, Seattle, Chicago, Statistics",Nada,0,"The number of coronavirus cases in the US stood at 71 early Sunday, according to the Center for Disease Control officials.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/nj-patient-tests-negative-for-coronavirus-tri-state-area-still-has-no-confirmed-cases/,News,"New Jersey, tests",Nada,Nada,"New Jersey’s only suspected coronavirus patient has tested negative, leaving no confirmed cases of the deadly virus in the East Coast by early Sunday.",,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/coronavirus-infected-vietnamese-heiress-attended-fashion-weeks-in-milan-paris/,News,fashion week,Nada,Nada,A coronavirus-stricken Vietnamese heiress attended fashion week shows in Milan,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/indian-wells-tennis-tournament-postponed-because-of-coronavirus-case/,Sports,Tennis,Nada,0,tennis tournament postponed because of coronavirus case,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/scarsdale-public-schools-manhattans-brearley-school-cancel-classes-over-coronavirus/,Metro,"Schools, classes, disinfect ",Nada,Nada,a middle school teacher tested positive for coronavirus.,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/everything-officials-have-revealed-about-new-yorks-13-coronavirus-cases/,Metro,first patients,Nada,Nada,Mayor provided details on New York City’s 13 coronavirus patients,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/world-health-organization-official-gives-thumbs-down-on-bumping-elbows/,News,WHO bumping elbows,Nada,Nada,he doesn’t recommend the handshake replacement of bumping elbows,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/columbia-university-cancelling-two-days-of-classes-over-coronavirus-concerns/,Metro,University clasess quarantine prevent,Nada,Nada,Columbia University is canceling two days of classes,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/about-4m-coronavirus-tests-available-by-end-of-next-week-white-house-expert-says/,Metro,"testing capacity, test",Nada,nada,testing capacity is “accelerating dramatically.”,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/ted-cruz-self-quarantining-after-meeting-coronavirus-stricken-cpac-attendee/,News,University clasess quarantine prevent,nada,nada,Columbia University is canceling two days of classes this week,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/coronavirus-going-to-hit-its-peak-and-start-falling-sooner-than-you-think/,Opinion,"closing borders, hysteria",nada,1,Coronavirus going to hit its peak and start falling sooner than you think,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/us-stock-futures-tumble-4-on-coronavirus-fears-in-pre-market-trade/,Business,"stock, market trade, ",Nada,nada,Fear of the economic damage the coronavirus epidemic,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/keep-off-cruises-amid-coronavirus-outbreak-state-department-says/,News,"cruises, travelers ",0,0,"Keep off cruises amid coronavirus outbreak, State Department says",,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/travel-chaos-as-italy-puts-quarter-of-population-under-coronavirus-quarantine/,News,"Italy, lockdown",nada,nada,Panicked travelers rushed to flee northern Italy,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/bill-melinda-gates-foundation-to-fund-coronavirus-home-testing-kits-in-seattle/,News,"Bill Gates, test, foundation",nada,nada,Gates Foundation to fund coronavirus home-testing kits,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/women-fight-over-toilet-paper-during-coronavirus-panic-buying-in-australia/,News,"figth, toilet paper, australia",nada,nada,fight over toilet paper,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/who-offers-advice-about-using-cash-as-coronavirus-continues-to-spread/,News,"advice, cash, credit card",nada,nada,"There’s a chance that the deadly infection can be transmitted during the transfer of money,",,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/cuomo-no-reason-to-shut-down-mass-transit-over-coronavirus-yet/,Metro,public transit,nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/coronavirus-in-ny-rockland-county-warns-residents-they-may-have-been-exposed-after-caterers-test-positive/,Metro,"caterers positive, waitress ",nada,nada,,,,,,,,,,,,
